pitch [deg],pAtm [hPa],Tatm [C],rho [km/m3],Qinf [Pa],Vinf [m/s],Ps (gauge) [Pa],Pt (gauge) [Pa],n [Hz],J [-],P1 (gauge) [Pa],P2 (gauge) [Pa],P3 (gauge) [Pa],P4 (gauge) [Pa],P5 (gauge) [Pa],X [m],Y [m],Z [m]
15,1018.03224,13.74,1.236187,556.189034,29.997433,21.690291,578.354894,123.032252,0.599944974,493.526067,563.727933,630.552549,528.987599,870.016357,0.05222,0.13739,0
15,1018.02738,13.74,1.236181,556.376945,30.002572,21.966061,578.721864,123.031043,0.60005365,495.656474,568.242166,646.311937,539.547471,881.621582,0.05222,0.12872,0
15,1018.03746,13.74,1.236193,556.130842,29.995787,21.404856,577.817354,123.030571,0.599920251,490.194932,562.29635,648.182747,541.009622,879.247483,0.05222,0.11971,0
15,1018.02126,13.74,1.236174,556.066624,29.994294,21.939629,578.354762,123.029626,0.599894998,480.895093,550.573221,642.848104,538.870853,869.931141,0.05222,0.11042,0
15,1018.03834,13.74,1.236195,556.330952,30.00117,21.674248,578.204716,123.030392,0.600028785,464.470333,531.288915,629.224188,529.805604,851.961904,0.05222,0.10087,0
15,1018.06252,13.74,1.236224,556.031358,29.992735,22.019059,578.426823,123.030816,0.599858016,443.849916,506.524229,606.82442,514.56944,825.105945,0.05222,0.09113,0
15,1018.03216,13.7428,1.236175,556.306697,30.000754,22.151026,578.825293,123.031172,0.60001666,418.435547,475.463742,574.509095,492.045422,788.70011,0.05222,0.08124,0
15,1018.0449,13.7444,1.236184,556.129466,29.99587,22.093294,578.484365,123.033797,0.599906181,388.224269,435.875684,525.18026,458.419827,736.237594,0.05222,0.07124,0
15,1017.98192,13.7584,1.236047,556.269628,30.00131,22.393788,579.119862,123.030386,0.600031614,365.852507,400.670959,476.030529,424.252485,684.148159,0.05222,0.0612,0
15,1018.01086,13.7592,1.236078,556.645404,30.011056,21.178203,577.941769,123.02628,0.600246568,369.695735,375.495071,376.702105,352.614749,577.459025,0.07444,0.25,0
15,1018.07482,13.76,1.236153,556.11798,29.995935,20.956548,577.693347,123.033873,0.59990711,369.617554,375.948969,376.795413,352.299923,577.109421,0.07444,0.24279,0
15,1018.07202,13.76,1.236149,555.926082,29.990801,20.993239,577.372861,123.030763,0.599819594,370.044556,376.530036,376.916,352.457343,577.104684,0.07444,0.23609,0
15,1018.09438,13.76,1.236176,556.02234,29.993068,20.761391,577.280291,123.03198,0.599859,370.387003,376.952371,376.92672,352.387379,576.902544,0.07444,0.22993,0
15,1018.1431,13.76,1.236236,556.293977,29.999675,20.871989,577.636077,123.031965,0.599991213,370.729507,377.698073,377.442223,352.678601,577.194687,0.07444,0.22435,0
15,1018.11758,13.76,1.236205,556.148309,29.996123,21.051233,577.786058,123.031871,0.599920632,371.685953,378.807138,378.554444,353.593619,577.877218,0.07444,0.21938,0
15,1018.09418,13.76,1.236176,556.40585,30.003413,20.961414,577.899939,123.030456,0.600073333,371.487445,379.034117,378.633417,353.361183,577.675549,0.07444,0.21504,0
15,1018.11498,13.76,1.236201,556.238301,29.998588,20.930313,577.511997,123.030188,0.599978139,369.794365,378.432342,378.773474,352.468447,577.167605,0.07444,0.21135,0
15,1018.16354,13.76,1.23626,556.015505,29.991864,20.829644,577.295612,123.03078,0.599840771,365.586927,377.27002,379.658255,349.935751,575.911986,0.07444,0.20833,0
15,1018.1339,13.7608,1.236221,556.385108,30.00231,21.199376,578.184329,123.03187,0.600044376,359.390916,376.044706,382.677119,347.229674,574.655637,0.07444,0.206,0
15,1018.14332,13.76,1.236236,556.43694,30.003527,20.840427,577.729779,123.031701,0.60006954,350.193061,371.386206,382.473941,341.715119,568.894846,0.07444,0.20436,0
15,1018.11574,13.76,1.236202,556.28923,29.999951,21.157162,578.029484,123.03169,0.599998074,347.341464,371.047506,384.010208,340.140729,568.009866,0.07444,0.20343,0
15,1018.10394,13.7692,1.236148,556.239061,29.999253,20.909074,577.543364,123.030723,0.59998883,345.440461,369.384207,383.146011,338.804159,566.107683,0.07444,0.20319,0
15,1018.14506,13.776,1.236169,556.065485,29.994321,20.776975,577.145493,123.027918,0.599903867,342.797436,368.110955,383.655928,337.424319,564.598898,0.07444,0.2027,0
15,1018.16094,13.78,1.236171,556.377704,30.002716,20.898751,577.786451,123.030687,0.600058266,337.775251,364.762532,383.895336,335.215665,561.161312,0.07444,0.2015,0
15,1018.21722,13.78,1.236239,556.158419,29.995974,20.649742,577.09894,123.030005,0.599926751,330.800125,361.276674,384.05111,330.77382,556.559093,0.07444,0.1996,0
15,1018.16602,13.7792,1.236181,556.406325,30.003371,21.278609,578.328658,123.031043,0.60006963,329.163985,359.818323,384.145006,330.557625,554.265751,0.07444,0.197,0
15,1018.093,13.776,1.236106,556.316665,30.001862,21.372505,578.282694,123.031,0.600039659,328.690558,357.362834,380.0796,329.853201,551.136732,0.07444,0.19372,0
15,1018.07806,13.78,1.23607,555.943549,29.992228,20.766323,576.995249,123.029561,0.599853995,327.580244,356.591347,379.241309,330.389819,552.550106,0.07444,0.18978,0
15,1018.13348,13.7808,1.236134,555.962535,29.991966,20.803342,576.970063,123.029683,0.59984816,329.989261,364.930668,391.613542,337.667281,568.51282,0.07444,0.1852,0
15,1018.15266,13.78,1.236161,556.165397,29.997113,20.877513,577.403571,123.0325,0.599937365,347.346656,390.238119,420.374047,360.396215,611.691927,0.07444,0.18,0
