CP13	CP24	CPT	CPS	alpha	beta
-2.962933075	2.638099849	-1.136001722	0.8953357	15	25
-2.270518687	2.63549702	-0.886680954	1.011561165	10	25
-1.666869228	2.692964504	-0.769080899	1.068270361	5	25
-1.107210479	2.790749517	-0.739471169	1.067635293	0	25
-0.552083204	2.938873669	-0.785530997	1.012421128	-5	25
-0.001969814	3.174028915	-0.925459935	0.936115433	-10	25
0.629856446	3.689097202	-1.261798638	0.875110691	-15	25
1.491170092	4.67596388	-1.926580114	0.812813245	-20	25
2.946502182	6.619848326	-3.291276441	0.674497809	-25	25
6.244320468	11.38716692	-6.758993441	0.310715583	-30	25
24.07785888	38.06974858	-26.60757734	-1.795968022	-35	25
-10.19704139	-14.60254935	12.41804152	1.78211195	-40	25
-66.14242913	30.2375647	-46.75457997	-11.68792974	40	30
-16.3837779	8.439779386	-10.35075906	-1.904115476	35	30
-9.644023635	5.767422635	-5.584854874	-0.50127936	30	30
-6.642521793	4.68113943	-3.560669859	0.088831195	25	30
-5.012055883	4.217644139	-2.569853202	0.428090206	20	30
-3.85584603	3.976455493	-1.972894948	0.642149158	15	30
-2.975449642	3.869535029	-1.623201279	0.771825004	10	30
-2.237524093	3.864390064	-1.452802868	0.829564464	5	30
-1.594130244	3.955475914	-1.423393256	0.832248482	0	30
-0.968278429	4.140435554	-1.505655221	0.776349839	-5	30
-0.349629978	4.494413603	-1.738331289	0.685603641	-10	30
0.371466428	5.356168095	-2.305822801	0.582118733	-15	30
1.42514641	7.10803624	-3.4689509	0.448312733	-20	30
3.58909836	11.39514942	-6.413319219	0.138253299	-25	30
11.8981745	28.95812963	-18.73357473	-1.238383799	-30	30
-24.73558094	-50.16884926	37.19754806	5.152410142	-35	30
-5.782895472	-10.42996087	9.046003354	1.72822806	-40	30
49.33709257	-28.60413115	39.28024398	10.93411206	40	35
-44.28510891	28.26758677	-32.11987084	-7.467352934	35	35
-17.71170057	12.83009247	-12.17041738	-2.058701648	30	35
-10.32004536	8.636270412	-6.774688775	-0.656722578	25	35
-7.32100588	7.132941324	-4.734142375	-0.091455023	20	35
-5.468507223	6.347950776	-3.62341359	0.200770465	15	35
-4.209176184	5.988522818	-3.033540585	0.376386155	10	35
-3.253138524	5.902458075	-2.782263766	0.460124087	5	35
-2.477125235	6.069489208	-2.794175902	0.476183316	0	35
-1.722917195	6.439530844	-2.996740891	0.408013114	-5	35
-0.967896076	7.111248772	-3.446677824	0.273666868	-10	35
-0.085015691	8.929647474	-4.663935004	0.059927434	-15	35
1.398695	13.30296542	-7.602019776	-0.361493593	-20	35
6.523336097	31.62761319	-20.14350167	-2.097420341	-25	35
-23.57394463	-79.84821782	56.76629934	8.849689984	-30	35
-5.852652021	-15.58927054	12.51689121	2.49840191	-35	35
-3.336206562	-7.661269656	7.028771112	1.640186372	-40	35
15.37354533	-10.68562859	14.02664199	4.245494522	40	40
35.27936229	-26.72187981	30.05694449	8.160611506	35	40
-102.1373879	85.92037718	-82.8500737	-19.39718367	30	40
-25.47952659	24.46064648	-20.3657808	-3.80164265	25	40
-14.31830495	15.74477554	-11.53531347	-1.625677245	20	40
-9.595236356	12.32395704	-8.061591291	-0.826404618	15	40
-7.158862516	10.95992124	-6.57721484	-0.459292388	10	40
-5.692399795	10.74564843	-6.152771178	-0.300921729	5	40
-4.674274702	11.3721912	-6.422955091	-0.296873573	0	40
-3.706064569	12.68272871	-7.225992979	-0.45707992	-5	40
-2.703084482	14.92640239	-8.733172336	-0.801111405	-10	40
-1.706354569	22.91102122	-14.17365425	-1.782562131	-15	40
1.761917459	70.49151195	-46.73215521	-7.455726463	-20	40
-5.098158212	-44.00121852	31.80480084	6.124020135	-25	40
-3.252049606	-16.56566017	13.07837782	2.925086113	-30	40
-2.508575078	-9.261539865	8.111749681	2.029921547	-35	40
-2.030866521	-6.221425883	6.057336445	1.652804336	-40	40
